nameseq,A-feat,C-feat,D-feat,E-feat,F-feat,G-feat,H-feat,I-feat,K-feat,L-feat,M-feat,N-feat,P-feat,Q-feat,R-feat,S-feat,T-feat,V-feat,W-feat,Y-feat,label
pre_0_ACP_1,0.3333333333333333,0.0,0.0,0.09090909090909091,0.0,0.12121212121212122,0.0,0.030303030303030304,0.18181818181818182,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.09090909090909091,0.030303030303030304,0.0,Predicted
pre_1_ACP_2,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,Predicted
pre_2_ACP_3,0.0625,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.0625,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.0,0.0,Predicted
pre_3_ACP_4,0.0625,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.0625,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.0,0.0,Predicted
pre_4_ACP_5,0.0625,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.0625,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,Predicted
pre_5_ACP_6,0.0625,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.1875,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,Predicted
pre_6_ACP_7,0.11764705882352941,0.0,0.058823529411764705,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,Predicted
pre_7_ACP_8,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,Predicted
pre_8_ACP_9,0.09278350515463918,0.07216494845360824,0.08247422680412371,0.0,0.07216494845360824,0.08247422680412371,0.010309278350515464,0.05154639175257732,0.020618556701030927,0.030927835051546393,0.0,0.13402061855670103,0.08247422680412371,0.010309278350515464,0.09278350515463918,0.020618556701030927,0.09278350515463918,0.030927835051546393,0.0,0.020618556701030927,Predicted
pre_9_ACP_10,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,Predicted
